iteration,encoding,cut,strategy,instance,timetotal,timesolving,optimum,backlog,inventary,n_processed_materials
4,lin,without,bb,real_d,TO,TO,unknown,2338,0,90
4,trivial,with,bb,real_d,TO,TO,unknown,1541,0,100
4,trivial,without,bb,real_d,TO,TO,unknown,2607,0,85
4,lin,with,bb,real_h,158.938,156.74,yes,0,61,67
4,lin,without,bb,real_h,827.927,825.55,yes,0,61,67
4,trivial,with,bb,real_h,TO,TO,unknown,0,65,67
4,trivial,without,bb,real_h,759.275,737.12,yes,0,61,67
4,lin,with,bb,real_o,TO,TO,unknown,2372,0,100
4,lin,without,bb,real_o,TO,TO,unknown,3572,29,87
4,trivial,with,bb,real_o,TO,TO,unknown,2372,0,100
4,trivial,without,bb,real_o,TO,TO,unknown,3716,0,82

