iteration,encoding,strategy,instance,optimum found,timetotal,timesolving,value
3,./enc/lin_without_cut.lp,bb,instance_real3_o,SATISFIABLE,1800.000,1796.98,5388 50
4,./enc/basic_with_cut.lp,bb,instance_real4,SATISFIABLE,1800.001,1775.55,646 0 100
4,./enc/basic_without_cut.lp,bb,instance_real4,SATISFIABLE,1800.001,1775.40,931 14 89
4,./enc/lin_with_cut.lp,bb,instance_real4,SATISFIABLE,1800.001,1797.07,482 5 100
4,./enc/lin_without_cut.lp,bb,instance_real4,SATISFIABLE,1800.000,1797.10,1916 0 79
4,./enc/basic_with_cut.lp,bb,instance_real4_c,SATISFIABLE,1800.000,1776.32,626 185 99
4,./enc/basic_without_cut.lp,bb,instance_real4_c,SATISFIABLE,1800.001,1773.51,1322 0 87
4,./enc/lin_with_cut.lp,bb,instance_real4_c,SATISFIABLE,1800.003,1796.85,521 167 100
4,./enc/lin_without_cut.lp,bb,instance_real4_c,SATISFIABLE,1800.006,1796.30,1292 47 71
4,./enc/basic_with_cut.lp,bb,instance_real4_d,SATISFIABLE,1800.006,1775.77,1501 0 99
4,./enc/basic_without_cut.lp,bb,instance_real4_d,SATISFIABLE,1800.001,1775.38,2460 0 88
4,./enc/lin_with_cut.lp,bb,instance_real4_d,SATISFIABLE,1800.010,1796.45,1421 0 100
4,./enc/lin_without_cut.lp,bb,instance_real4_d,SATISFIABLE,1800.001,1796.34,2482 0 84
4,./enc/basic_with_cut.lp,bb,instance_real4_h,OPTIMUM FOUND,791.945,767.04,0 61 67
4,./enc/basic_without_cut.lp,bb,instance_real4_h,SATISFIABLE,1800.000,1774.40,0 159 68
4,./enc/lin_with_cut.lp,bb,instance_real4_h,OPTIMUM FOUND,210.315,207.60,0 61 67
4,./enc/lin_without_cut.lp,bb,instance_real4_h,OPTIMUM FOUND,1094.586,1091.65,0 61 67
4,./enc/basic_with_cut.lp,bb,instance_real4_o,SATISFIABLE,1800.010,1775.85,2424 0 100
4,./enc/basic_without_cut.lp,bb,instance_real4_o,SATISFIABLE,1800.001,1775.14,3213 5 85
4,./enc/lin_with_cut.lp,bb,instance_real4_o,SATISFIABLE,1800.000,1796.38,2372 0 100
4,./enc/lin_without_cut.lp,bb,instance_real4_o,SATISFIABLE,1800.000,1795.85,3572 29 87
